No,Sha,Valid,Message,Issue-url,Tag,Category
73,8f87754b763a30888a29c15e4e92fdca830d6fe0,False, ceph nfs fix dev repo task need filter architecture order fetch right dev repository shaman signed guillaume abrioux gabrioux redhat.com, , ,None
74,41295f0ef661511953be607d44d82a80f5656d2e,False, ceph osd allow use bluestore bluestore filestore signed seena fallah seenafallah gmail.com, , ,None
75,22c18e82f0340bcc63bba7f124cda8e04874b30b,False, cephadm_adopt fix ceph crash migration ceph ansible leaf ceph crash container containerized deployment mean end ceph crash container running migration playbook complete close http show_bug.cgi 1954614 signed guillaume abrioux gabrioux redhat.com, , ,General
76,1f40c12502dc5b9f8d9cdd4977f96494139127fa,False, cephadm_adopt fix rgw placement task due recent breaking change ceph command must modified add svc_id parameter signed guillaume abrioux gabrioux redhat.com, , ,None
77,bb7d37fb6aac091ba0e9d7f6b7ad468e177d16b3,False, cephadm_adopt create nfs ganesha pool migrating cluster node deployed exist need create pool storing nfs export object close http show_bug.cgi 1950403 signed guillaume abrioux gabrioux redhat.com, , ,None
78,83a8dd5a6a1f9ffe43b2a75d7b49775e34c58f24,False, group_vars fix default value look like script executed previous modifying default value signed dimitri savineau dsavinea redhat.com, , ,None
79,4e6b2a54d20093ce1b4b320a6588091d552804f9,True, ceph default update multisite readme reference multisite readme file merged single file close 6411 signed dimitri savineau dsavinea redhat.com,https://api.github.com/repos/ceph/ceph-ansible/issues/6411, ,None
80,0df23194cefdf0dc631327039c4ec00ae5370999,False, doc update ansible version master since 839fac8 use ansible 2.10 master branch signed dimitri savineau dsavinea redhat.com, , ,None
81,441651638d883b73c960363becae54096c8cee85,False, config monitoring stack component api url using vip provided service configured using related vip new vip variable added prometheus alertmanager already able properly config grafana vip using variable change add variable prometheus alertmanager signed francesco pantano fpantano redhat.com, , ,None
82,06a998dde01b2165cfa8427ffd651cc377b10f81,False, test run dev_setup.yml non_container job need run playbook container job signed guillaume abrioux gabrioux redhat.com, , ,None
83,839fac8f9418ce54af66a4ff0a3a9b8db6814f26,False, core bump ansible version consider bumping ansible version future release let start testing ansible 2.10 signed guillaume abrioux gabrioux redhat.com, , ,None
84,c07851347521b09c39b556818378767fc23f05e5,False, ceph rgw loadbalancer fix rgw_ports fact set_fact rgw_ports task failing due templating error hostvars item .rgw_instances list treated dictionary another issue fact unique filter applied list appended rgw_ports instead entire list mean possible duplicate item lastly rgw_ports would list integer seport module expects list string commit fix issue allowing ceph rgw loadbalancer role work system selinux enabled signed benoã knecht bknecht protonmail.ch, , ,None
85,ddbc11c4a9c815ccc46fa52fd900f452c082612f,False, switch container chown corresponding file collocating daemon chown file var lib ceph cause issue collocated daemon migrated yet commit make playbook chown file corresponding daemon migrated signed guillaume abrioux gabrioux redhat.com, , ,None
86,bab403b603feb8b7534dde65924699b370f4bc0d,False, container systemd ensure var log ceph exists add execstartpre usr bin mkdir var log ceph systemd service template ceph daemon specific rhcs leapp upgrade done indeed var log ceph seems removed upgrade order work around issue let ensure directory present trying start container podman close http show_bug.cgi 1949489 signed guillaume abrioux gabrioux redhat.com, , ,None
87,3d4267051f03c053dcd7d3f6f381988be0b2939d,False, fs2bs add final play remove fact skipped_nodes useless run limit since get reset new iteration made instead let print within final play node skipped reusing skip_this_node fact signed guillaume abrioux gabrioux redhat.com, , ,None
88,b1e7e1ad0f517c345ade159961d8bb2cb13b1c22,False, rbdmirror add retries configuring mirroring called right daemon started sometimes happen first task run daemon yet ready adding retries task help avoid causing playbook fail close http show_bug.cgi 1944996 signed guillaume abrioux gabrioux redhat.com, , ,None
89,a9220654f568a763142deb77f81cfc9f2a80f233,False, cephadm_adopt support nfs ganesha adoption commit add nfs ganesha adoption support cephadm adopt.yml playbook close http show_bug.cgi 1944504 signed guillaume abrioux gabrioux redhat.com, , ,None
90,0772b3d28d88ce49b0547e2afcdfd25cae084aea,False, nfs remove legacy task fact never used let remove task signed guillaume abrioux gabrioux redhat.com, , ,None
91,d3d3d015286012b171d424c4a9cfe73ca0d3bd09,False, nfs rename two task set name task accordingly fact name set signed guillaume abrioux gabrioux redhat.com, , ,None
