repo_id,apity,apity_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
1217614,FFI_IRI,0,1550787,21,3187,20000,538,957,641,6,78,232
52595226,IRI,0,6125,3,1528,404,12,5,3,0,2,0
8708394,IRI_ID,0,1633,3,3007,1139,159,33,17,1,0,15
1549138,HI,1,5606,5,4082,2078,225,95,55,0,4,36
3744545,IRI_ID,0,6003,4,3247,1672,406,44,6,0,0,38
37734226,IRI,0,189762,2,2100,3068,327,62,5,0,4,53
74962515,ID,0,76919,3,1579,3051,100,93,26,3,22,42
1538210,HI,1,1115,2,3632,781,129,20,3,0,1,16
29703871,IRI,0,2347,4,2260,588,62,36,20,0,0,16
58559694,IRI_ID,0,71437,7,1494,20000,305,309,89,1,33,186
105138356,IRI_ID,0,136632,5,1370,1203,54,53,25,0,4,24
23404839,IRI_ID,0,28560,7,2479,2335,125,30,3,0,5,22
18609427,IRI_ID,0,56533,4,2637,2040,171,70,43,0,1,26
5349565,FFI_IRI,0,152730,10,3248,19024,648,809,470,11,104,224
26730195,IRI,0,38640,5,2327,7274,228,70,8,2,6,54
3766706,IRI,0,189653,4,4123,1780,98,78,17,2,2,57
19249835,IRI_ID,0,1727829,7,2666,11203,622,197,19,3,9,166
66573241,FFI,0,124049,4,1876,13798,458,390,145,2,93,150
21779020,IRI,0,7475,2,2515,1886,251,23,5,3,2,13
34921116,FFI_IRI,0,14998,12,2258,3782,501,181,102,3,12,64
2826918,IRI,0,2272,5,4757,576,68,61,25,0,2,34
26038648,FFI_IRI,0,40972,5,2711,3675,288,95,50,1,1,43
138312,HI,1,4469,3,2949,1674,284,44,2,0,4,38
32476524,IRI,0,2579,3,2264,1125,138,17,6,1,1,9
129860458,ID,0,7327,3,1594,885,96,12,0,2,0,10
1390248,FFI_IRI,0,505840,18,1618,20000,814,497,73,19,76,329
75547,IRI,0,6208,2,4006,768,66,18,3,0,0,15
77419377,IRI,0,3541,4,1698,598,44,4,1,0,0,3
18405734,IRI,0,22854,4,2580,121,14,1,0,0,1,0
21233191,IRI,0,42859,6,2562,12476,374,268,80,2,62,124
56760633,IRI,0,61066,3,1897,5869,483,140,22,1,13,104
2560988,IRI_ID,0,9639,7,3533,2779,399,111,26,4,4,77
26827696,IRI,0,402,3,2405,252,61,13,7,0,1,5
47925804,IRI_ID,0,21788,4,2019,650,9,13,1,0,0,12
2553927,IRI,0,7026,4,3507,774,83,15,2,1,3,9
4095287,IRI,0,44212,4,3357,10821,907,383,145,9,8,221
43640830,FFI_IRI,0,86046,15,1995,13041,2081,876,372,5,110,389
106995,IRI,0,6892,11,5015,4276,511,115,38,0,3,74
9305860,ID,0,11023,2,2781,150,25,11,0,0,7,4
15464772,IRI,0,2364,4,2744,443,81,7,1,0,0,6
21763822,ID,0,25183,11,2522,15891,585,1022,837,27,13,145
5880912,IRI_ID,0,61084,5,2543,951,80,3,1,1,1,0
5683364,HI,1,1593,3,3207,1267,96,23,8,0,0,15
1305114,ID,0,11365,5,3748,2353,254,34,5,2,0,27
92254860,HI,1,1233635,2,1341,26,6,1,0,0,0,1
4916869,IRI,0,1975,3,3213,1038,91,36,6,0,2,28
55763295,ID,0,87673,3,1228,472,20,8,0,0,0,8
43330374,HI,1,20970,3,2073,878,176,40,14,0,0,26
6780767,FFI,0,56272,3,3150,9413,378,236,35,7,26,168
64700934,IRI,0,14497,3,1793,2476,289,54,9,0,0,45
17148588,IRI_ID,0,116133,5,2728,6454,202,178,86,1,42,49
36674234,IRI,0,12599,3,1871,1475,87,15,2,0,0,13
71966177,IRI_ID,0,2740,3,1691,583,61,9,2,0,1,6
17391973,FFI_IRI,0,30178,7,3510,2348,207,128,59,0,1,68
17618901,IRI,0,28182,2,2637,5190,89,98,65,0,2,31
10290605,IRI_ID,0,3158,3,2933,324,39,4,0,0,0,4
48296,ID,0,6857,2,4308,486,56,16,1,0,0,15
478996,IRI_ID,0,26980,3,4763,7217,384,272,71,2,16,183
248523,HI,1,4434,4,4372,2667,356,49,27,0,1,21
801795,IRI,0,8165,4,3434,1083,113,42,26,0,3,13
64932918,ID,0,25954,4,1784,580,27,8,0,0,0,8
71297170,FFI,0,1949,3,1472,148,28,3,1,0,1,1
14106970,ID,0,18183,2,2706,1174,79,5,2,0,0,3
65052980,ID,0,954,3,899,247,32,4,2,0,0,2
53321815,ID,0,6514,2,1577,759,31,16,1,0,0,15
1157388,IRI,0,886,3,3842,838,144,29,2,0,0,27
4897046,IRI_ID,0,461,3,2761,392,28,3,0,0,1,2
132474914,ID,0,1571,3,1124,388,37,13,5,0,0,8
12970971,ID,0,17683,3,2831,2460,132,50,4,0,5,41
