repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
74962515,css_html_javascript,0,76919,3,1579,3051,100,93,26,3,22,42
1538210,objectivec_ruby,0,1115,2,3632,781,129,20,3,0,1,16
29703871,java_javascript,0,2347,4,2260,588,62,36,20,0,0,16
58559694,javascript_shell_typescript,0,71437,7,1494,20000,305,309,89,1,33,186
105138356,html_javascript_typescript,0,136632,5,1370,1203,54,53,25,0,4,24
23404839,html_javascript_shell,0,28560,7,2479,2335,125,30,3,0,5,22
18609427,css_html_javascript_shell,0,56533,4,2637,2040,171,70,43,0,1,26
5349565,java_javascript,0,152730,10,3248,19024,648,809,470,11,104,224
26730195,javascript_php,0,38640,5,2327,7274,228,70,8,2,6,54
3766706,java_shell,0,189653,4,4123,1780,98,78,17,2,2,57
19249835,css_html_javascript_python_shell,0,1727829,7,2666,11203,622,197,19,3,9,166
66573241,go_shell,0,124049,4,1876,13798,458,390,145,2,93,150
21779020,javascript_shell,0,7475,2,2515,1886,251,23,5,3,2,13
34921116,c_cpp_python_shell,0,14998,12,2258,3782,501,181,102,3,12,64
2826918,objectivec_ruby,0,2272,5,4757,576,68,61,25,0,2,34
26038648,c_cpp_python_shell,0,40972,5,2711,3675,288,95,50,1,1,43
138312,html_ruby,0,4469,3,2949,1674,284,44,2,0,4,38
32476524,python_shell,0,2579,3,2264,1125,138,17,6,1,1,9
129860458,css_html_javascript,0,7327,3,1594,885,96,12,0,2,0,10
1390248,html_python_shell,0,505840,18,1618,20000,814,497,73,19,76,329
75547,html_javascript,0,6208,2,4006,768,66,18,3,0,0,15
77419377,go_shell,0,3541,4,1698,598,44,4,1,0,0,3
18405734,html_javascript_shell,0,22854,4,2580,121,14,1,0,0,1,0
21233191,go_shell,0,42859,6,2562,12476,374,268,80,2,62,124
56760633,javascript_shell_typescript,0,61066,3,1897,5869,483,140,22,1,13,104
2560988,html_javascript_shell,0,9639,7,3533,2779,399,111,26,4,4,77
26827696,go_shell,0,402,3,2405,252,61,13,7,0,1,5
47925804,css_html_javascript,0,21788,4,2019,650,9,13,1,0,0,12
2553927,html_javascript,0,7026,4,3507,774,83,15,2,1,3,9
4095287,html_ruby,0,44212,4,3357,10821,907,383,145,9,8,221
43640830,java_javascript_objectivec,0,86046,15,1995,13041,2081,876,372,5,110,389
106995,html_ruby,0,6892,11,5015,4276,511,115,38,0,3,74
9305860,html_javascript,0,11023,2,2781,150,25,11,0,0,7,4
15464772,html_javascript,0,2364,4,2744,443,81,7,1,0,0,6
21763822,html_javascript_shell,0,25183,11,2522,15891,585,1022,837,27,13,145
5880912,css_html_javascript_shell,0,61084,5,2543,951,80,3,1,1,1,0
5683364,c_objectivec,0,1593,3,3207,1267,96,23,8,0,0,15
1305114,css_javascript_php,1,11365,5,3748,2353,254,34,5,2,0,27
92254860,python_shell,0,1233635,2,1341,26,6,1,0,0,0,1
4916869,php_shell,0,1975,3,3213,1038,91,36,6,0,2,28
55763295,css_html_javascript,0,87673,3,1228,472,20,8,0,0,0,8
43330374,objectivec_ruby,0,20970,3,2073,878,176,40,14,0,0,26
6780767,python_shell,0,56272,3,3150,9413,378,236,35,7,26,168
64700934,javascript_shell,0,14497,3,1793,2476,289,54,9,0,0,45
17148588,html_javascript_typescript,0,116133,5,2728,6454,202,178,86,1,42,49
36674234,javascript_python,0,12599,3,1871,1475,87,15,2,0,0,13
71966177,css_javascript_shell,1,2740,3,1691,583,61,9,2,0,1,6
17391973,c_cpp_python_shell,0,30178,7,3510,2348,207,128,59,0,1,68
17618901,javascript_typescript,0,28182,2,2637,5190,89,98,65,0,2,31
10290605,css_html_javascript,0,3158,3,2933,324,39,4,0,0,0,4
48296,html_javascript,0,6857,2,4308,486,56,16,1,0,0,15
478996,css_html_javascript,0,26980,3,4763,7217,384,272,71,2,16,183
248523,javascript_python,0,4434,4,4372,2667,356,49,27,0,1,21
801795,objectivec_ruby,0,8165,4,3434,1083,113,42,26,0,3,13
64932918,html_javascript,0,25954,4,1784,580,27,8,0,0,0,8
71297170,go_shell,0,1949,3,1472,148,28,3,1,0,1,1
14106970,css_html,0,18183,2,2706,1174,79,5,2,0,0,3
65052980,html_javascript,0,954,3,899,247,32,4,2,0,0,2
53321815,css_javascript,1,6514,2,1577,759,31,16,1,0,0,15
1157388,html_ruby,0,886,3,3842,838,144,29,2,0,0,27
4897046,css_html_javascript,0,461,3,2761,392,28,3,0,0,1,2
132474914,css_html_javascript,0,1571,3,1124,388,37,13,5,0,0,8
12970971,css_html_javascript,0,17683,3,2831,2460,132,50,4,0,5,41
1908577,html_javascript,0,1571,2,3555,430,93,11,0,0,0,11
1204214,css_javascript,1,6691,4,3787,4043,219,58,16,0,7,35
24977535,go_shell,0,34430,3,2416,519,48,46,1,0,1,44
53256950,css_html_javascript,0,3231,5,1720,775,17,10,4,0,6,0
42237038,javascript_shell,0,811,2,2092,167,47,3,0,0,0,3
34275045,cpp_python_shell,0,124308,14,3699,9176,524,309,114,0,11,184
5198041,java_shell,0,12080,3,7483,1675,162,73,18,1,1,53
12779699,css_html_java_javascript,0,358493,6,3159,1106,31,16,1,1,0,14
1308789,css_html_javascript,0,3716,3,3496,807,60,12,3,0,2,7
72891330,go_shell,0,131733,9,1970,5976,745,153,33,2,29,89
993110,html_python,0,6474,4,3973,3466,454,103,17,0,7,79
56271158,javascript_shell_typescript,0,18647,6,1883,1304,107,39,6,2,4,27
26682105,html_javascript_typescript,0,18135,4,2420,4038,779,45,9,2,4,30
57602001,javascript_shell_typescript,0,8524,4,1880,6417,65,92,8,6,5,73
1918677,html_ruby,0,18457,2,3659,6016,277,295,213,3,28,51
14095175,cpp_python,0,11959,10,2850,3946,203,107,34,2,3,68
33082868,css_html_java_javascript,0,1513,6,2123,288,22,10,0,0,0,10
5594766,go_shell,0,499,3,3211,323,35,4,1,0,0,3
3327382,css_javascript_php,1,1108,4,3173,1382,213,37,7,1,1,28
16331291,c_cpp_python,0,24680,12,4807,7945,186,115,70,1,1,43
508845,objectivec_ruby,0,43492,5,3324,3509,238,238,107,0,5,126
42194129,go_shell,0,62634,4,2371,640,32,12,4,0,5,3
23515024,c_cpp,0,950,5,2061,648,61,8,4,0,0,4
9709563,css_html_javascript_shell,0,14838,5,2981,3386,358,66,9,1,0,56
827590,css_html_javascript_python_shell,0,21645,5,4794,10061,535,265,132,1,28,104
6319157,javascript_shell_typescript,0,27532,3,3279,2646,62,37,1,0,6,30
12271469,html_python_shell,0,3188,5,2860,1810,206,84,20,2,26,36
10332822,c_cpp_python,0,273059,13,3040,20000,277,459,187,0,26,246
85371262,java_javascript,0,1027492,3,1555,1470,50,13,2,0,0,11
15642233,css_html_javascript,0,27806,3,1055,89,17,3,0,0,0,3
5476048,css_html_javascript,0,2146,3,2902,824,164,29,2,0,0,27
32844456,java_shell,0,56989,3,1736,253,12,9,1,0,0,8
140656,c_shell,0,6963,4,5534,2690,186,69,46,0,5,18
715547,html_javascript_typescript,0,247114,11,3163,20000,201,756,71,2,3,680
648414,html_javascript,0,7953,2,4183,852,237,30,5,0,0,25
27954927,java_shell,0,101441,2,2391,1312,50,81,59,0,1,21
16630332,html_javascript_typescript,0,1638,3,2212,483,27,9,1,0,0,8
7855340,javascript_shell,0,13429,3,1071,1170,15,7,6,0,1,0
12228746,html_python,0,1052,5,2774,987,123,29,1,1,14,13
757363,css_html_javascript_typescript,0,7744,4,3890,1796,108,74,4,1,2,67
48796179,css_javascript_php,1,15646,4,1982,3053,310,97,3,0,17,77
1217404,ruby_shell,0,2738,8,3825,2168,333,71,4,0,22,45
116576783,go_shell,0,15797,5,1312,1996,87,49,15,2,8,24
63832089,python_shell,0,11282,2,1604,66,18,1,0,0,0,1
71551629,css_javascript_shell,1,3734,3,1711,462,79,9,0,0,0,9
30732364,javascript_shell,0,23929,2,2275,2183,83,19,3,0,0,16
22254856,css_html_java_javascript,0,22868,7,2578,1554,176,47,18,1,1,27
1778471,html_python,0,750,3,2705,841,115,12,8,0,0,4
56728437,css_javascript_php,1,221584,17,1637,714,136,35,8,0,1,26
26316966,javascript_shell_typescript,0,13287,6,2399,3107,144,75,11,2,0,62
218157,python_shell,0,9713,4,4236,4556,235,107,48,2,4,53
24499174,css_html_javascript_python,0,12774,4,2399,789,56,30,5,0,2,23
9623064,html_java_javascript,0,17139,8,2982,1122,61,23,10,3,0,10
55434242,css_html_javascript_typescript,0,1395,4,1884,242,18,4,0,0,0,4
39452201,ruby_shell,0,6115,4,1906,536,50,2,1,0,0,1
907410,css_html_javascript_php,0,133722,5,3199,13113,344,441,65,5,8,363
13395052,css_html_javascript,0,14573,3,2811,468,123,9,1,0,0,8
36753839,html_javascript_shell,0,67044,5,2436,6821,97,373,76,6,43,248
648343,cpp_python_shell,0,1755,6,4086,788,58,33,28,0,2,3
1358497,css_html_javascript,0,5145,3,3636,276,40,32,4,0,3,25
44402056,css_html_javascript_shell,0,5556,4,2065,1167,68,13,8,0,0,5
10154151,html_javascript,0,19895,3,2928,3735,118,78,36,1,4,37
48600412,html_javascript_shell,0,1246,4,998,557,163,8,0,1,0,7
98315735,javascript_typescript,0,2125,2,1365,668,200,22,0,0,1,21
130474497,python_shell,0,69709,2,991,193,13,2,2,0,0,0
25126616,python_shell,0,10414,4,2413,2242,174,61,24,0,2,35
43279131,css_javascript,1,3152,2,514,261,16,1,1,0,0,0
116718067,go_shell,0,8129,3,1253,278,14,6,0,0,0,6
90786190,javascript_shell_typescript,0,2781,5,1447,285,74,4,0,0,0,4
30822337,objectivec_ruby,0,2498,3,2314,826,33,15,4,0,0,11
65392364,css_html_javascript_python,0,29142,9,2766,3195,289,37,4,1,3,29
13622189,css_html_javascript_python_shell,0,4694,7,2348,864,115,28,0,0,2,26
467471,css_html_javascript_typescript,0,74140,5,2915,20000,232,765,65,2,44,654
15505458,css_html_javascript,0,1058,4,1907,322,29,4,1,0,0,3
5736080,c_cpp_python,0,1364362,19,3479,20000,491,978,433,2,119,424
105627846,c_cpp,0,551828,26,3529,20000,251,874,660,2,25,187
61722736,java_shell,0,24408,8,1811,2310,204,122,94,2,1,25
35914020,javascript_shell_typescript,0,18280,3,2233,2539,167,83,6,0,4,73
55058317,python_shell,0,1816,4,1728,791,80,31,5,12,3,11
75135036,go_shell,0,1246,2,1449,801,57,29,17,0,4,8
45213667,html_typescript,0,98444,7,2214,7665,443,188,80,22,13,73
40936978,css_html_javascript_typescript,0,77589,7,2134,1260,302,5,3,0,1,1
44104712,python_shell,0,901,2,2058,625,69,17,8,0,1,8
60664534,html_javascript,0,24420,3,1825,437,75,22,1,0,0,21
46261404,cpp_shell,0,23560,8,1836,1921,155,45,9,0,3,33
8608480,javascript_typescript,0,147260,4,3038,3401,164,45,2,0,4,39
4534540,html_javascript,0,3181,3,2985,598,24,6,0,0,0,6
2183193,c_python_shell,0,68086,7,3520,20000,533,605,427,1,9,168
93580,php_shell,0,9218,2,4905,1635,191,87,12,4,13,58
12484808,html_javascript_python,0,1154,8,2596,258,15,3,1,0,0,2
61406260,javascript_shell,0,19172,4,1369,1112,99,40,12,0,0,28
