id,languages,classifier,clfType,fileType
50304279,"['typescript', 'javascript', 'html', 'css', 'python', 'shell']",JavaScript*_Shell*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
7387886,"['ruby', 'objective-c']",HIT*,HIT,['*']
116542968,"['javascript', 'python', 'html', 'css', 'shell']",JavaScript*_Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
7512078,"['ruby', 'shell', 'html']",Shell*_Ruby*,IMI,"['.rb', '.sh', '.bsh', '.zsh']"
116165188,"['go', 'shell']",Ruby-Go,FFI,['.go']
66030306,"['java', 'css', 'html']",Java-C_Java*,FFI_IMI,"['.java', '.c', '.java']"
12785038,"['go', 'python', 'shell']",Shell*_Go*,IMI,"['.sh', '.bsh', '.zsh', '.go']"
24084730,"['java', 'ruby', 'shell', 'html']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
864806,"['shell', 'php']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
3652822,"['python', 'html']",Python*,IMI,['.py']
57929326,"['python', 'html', 'typescript', 'javascript', 'css', 'shell']",JavaScript*_Shell*_Python*,IMI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.py']"
14447732,"['shell', 'c', 'python', 'c++', 'ruby']",Shell*_C-Python_C-C++,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.sh', '.bsh', '.zsh']"
39592840,"['javascript', 'typescript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
5816654,"['c++', 'python', 'shell']",Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py']"
835466,"['python', 'java', 'javascript', 'c', 'html', 'css', 'c++', 'shell']",JavaScript*_Java-Python_Java*_Java-C_C-C++_Python*_C-Python,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.py', '.java', '.java', '.c', '.py', '.ts', '.js', '.html', '.java']"
131510015,"['c++', 'python', 'c', 'shell']",Shell*_Python*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.py']"
3669065,"['java', 'python', 'shell', 'ruby']",Shell*_Java*,IMI,"['.java', '.sh', '.bsh', '.zsh']"
13392416,"['java', 'shell', 'html', 'ruby']",Shell*_Java*,IMI,"['.sh', '.bsh', '.zsh', '.java']"
34139230,"['python', 'c++', 'shell']",Shell*_Python*,IMI,"['.py', '.sh', '.bsh', '.zsh']"
41209174,"['java', 'shell', 'python', 'html']",Java-C_Python*_Java*_Shell*,FFI_IMI,"['.java', '.c', '.java', '.sh', '.bsh', '.zsh', '.py']"
43446846,"['go', 'shell']",C-Go_Ruby-Go,FFI,"['.go', '.go']"
26181278,"['java', 'css', 'html', 'shell', 'python', 'javascript']",JavaScript*_Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
45070600,"['typescript', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
17848424,"['javascript', 'html', 'shell']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
38982731,"['typescript', 'javascript', 'shell', 'python']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
16285236,"['c++', 'c', 'python', 'html', 'css', 'shell', 'javascript']",JavaScript*_Shell*_C-Python_C-C++,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
12223350,"['go', 'shell', 'ruby']",C-Go_Ruby-Go,FFI,"['.go', '.go']"
4479494,"['c++', 'python']",C-Python,FFI,"['.c', '.py']"
10426059,"['javascript', 'java', 'python', 'css', 'shell', 'html']",JavaScript*_Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.py']"
125127188,"['go', 'javascript', 'html', 'css', 'shell']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
3891123,"['php', 'javascript', 'css']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
64188788,"['shell', 'python']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
128402269,"['go', 'shell']",C-Go_Ruby-Go,FFI,"['.go', '.go']"
1925483,"['javascript', 'html', 'css']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
824451,"['c', 'css', 'shell', 'ruby', 'html']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
42548553,"['html', 'javascript', 'shell']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
12578007,"['javascript', 'php', 'css', 'shell']",JavaScript*_Shell*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
346893,"['ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
346893,"['ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
105010691,"['c++', 'c', 'python', 'shell', 'objective-c', 'ruby']",Shell*_Java-C_Python*_C-C++_C++-Objective-C,FFI_IMI,"['.c', '.cpp', '.mm', '.java', '.c', '.sh', '.bsh', '.zsh', '.py']"
16585561,"['javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
7812229,"['python', 'html', 'javascript', 'css', 'shell']",Shell*_JS-CSS-HTML*_Python*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.py', '.html', '.js', '.css']"
130,"['ruby', 'shell']",HIT*,HIT,['*']
90867899,"['c', 'html', 'c++', 'css', 'python', 'shell']",Shell*_Java-C_C-C++,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
44164233,"['javascript', 'css', 'html', 'shell']",Shell*_JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
15598496,"['c', 'c++']",C-C++,FFI,"['.c', '.cpp']"
78006543,"['ruby', 'objective-c']",HIT*,HIT,['*']
36897199,"['go', 'shell']",Ruby-Go,FFI,['.go']
59551700,"['javascript', 'css', 'html', 'shell']",Shell*_JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
68184811,"['typescript', 'javascript', 'html', 'shell']",Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
21303242,"['javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
26014013,"['c', 'shell', 'python']",Shell*_Java-C,FFI_IMI,"['.java', '.c', '.sh', '.bsh', '.zsh']"
14794708,"['c++', 'c', 'python', 'shell', 'css']",Shell*_Java-C_Python*_C-C++,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh', '.py']"
